dates,p
2011-02-01,0.0013908049294795845
2011-02-02,0.0015844642773549067
2011-02-03,0.0019277876828776804
2011-02-04,0.0022375448548263327
2011-02-07,0.0020771258286660372
2011-02-08,0.002239661004177591
2011-02-09,0.0021982169644972805
2011-02-10,0.0020784681820301973
2011-02-11,0.0022229439816263616
2011-02-14,0.002088670681376449
2011-02-15,0.00182334545749175
2011-02-16,0.0015718037566367826
2011-02-17,0.0016418635638903063
2011-02-18,0.0017289927330159235
2011-02-22,6.549122020676707e-05
2011-02-23,1.9667704398500374e-05
2011-02-24,5.938477638687939e-05
2011-02-25,0.00043788440021359364
2011-02-28,0.0008316166666064151
2011-03-01,0.0001042800209002101
2011-03-02,0.00015881609554760668
2011-03-03,0.0008444562577213768
2011-03-04,0.0006403616384829824
2011-03-07,0.00019562148306730004
2011-03-08,0.0004194557185769532
2011-03-09,0.0003279903882635547
2011-03-10,8.671749245915508e-05
2011-03-11,0.00044018200419787773
2011-03-14,0.00020793277962818626
2011-03-15,1.2044380223781161e-05
2011-03-16,7.409717354525509e-08
2011-03-17,4.394699921376712e-06
2011-03-18,3.991296052252719e-05
2011-03-21,0.0007690669263554156
2011-03-22,0.0009760075526474255
2011-03-23,0.0015567419149205006
2011-03-24,0.0021550661030928005
2011-03-25,0.0021741128611298525
2011-03-28,0.0013399421576188292
2011-03-29,0.0020532150954231158
2011-03-30,0.0022274488814801392
2011-03-31,0.0021988954375720777
2011-04-01,0.002297904142794688
2011-04-04,0.002250205138503357
2011-04-05,0.0023120836702758833
2011-04-06,0.002371733244039984
2011-04-07,0.0023179220120700833
2011-04-08,0.001974464782226572
2011-04-11,0.0023909753407650655
2011-04-12,0.002279347375171845
2011-04-13,0.002316926656768448
2011-04-14,0.0023971883006678025
2011-04-15,0.002147581327914633
2011-04-18,0.0022136140852996415
2011-04-19,0.0023824793086812397
2011-04-20,0.0021373591326710587
2011-04-21,0.0019682217819029673
2011-04-25,0.00240794918514801
2011-04-26,0.0024081819258390735
2011-04-27,0.002388888430715664
2011-04-28,0.002140092072488634
2011-04-29,0.0022641598746106395
2011-05-02,0.002266535447496938
2011-05-03,0.001834739258815189
2011-05-04,0.0015523440537500936
2011-05-05,0.0008160183876941549
2011-05-06,0.0007277310797180187
2011-05-09,0.0015416327877630501
2011-05-10,0.0023030943000380416
2011-05-11,0.0016441793284995834
2011-05-12,0.0022248823848483876
2011-05-13,0.0015097681136442475
2011-05-16,0.0007403364107609448
2011-05-17,0.001188415146897138
2011-05-18,0.0021217754924450073
2011-05-19,0.0024058644962712946
2011-05-20,0.0011957847474001282
2011-05-23,0.0006840775453068091
2011-05-24,0.0009679534389720855
2011-05-25,0.0015152636624611814
2011-05-26,0.0021928852390724024
2011-05-27,0.0022317557100212703
2011-05-31,0.0024190988101601635
2011-06-01,0.0006001281113451172
2011-06-02,0.0007337564429746962
2011-06-03,0.0008365401294516776
2011-06-06,0.0005660435827736435
2011-06-07,0.0008150026984638999
2011-06-08,0.0004737660757039639
2011-06-09,0.001069030001080256
2011-06-10,0.00047785114174422536
2011-06-13,0.0002571261191662496
2011-06-14,0.0008619475678314511
2011-06-15,4.8494825461606465e-05
2011-06-16,1.1465091001802222e-05
2011-06-17,4.509737483507219e-05
2011-06-20,0.00034979831838730774
2011-06-21,0.0008907555012104286
2011-06-22,0.0011302283442336171
2011-06-23,0.0006878553695683083
2011-06-24,0.00015169833060026176
2011-06-27,0.0002858218945386806
2011-06-28,0.0009079197182349747
2011-06-29,0.0022189032888299755
2011-06-30,0.0024750773474691715
2011-07-01,0.0024248019816364287
2011-07-05,0.0024827914426948693
2011-07-06,0.002476116984316361
2011-07-07,0.0024874092052642807
2011-07-08,0.0024941608559633645
2011-07-11,0.0010888017955386882
2011-07-12,0.0003553930138190827
2011-07-13,0.00037120732676030325
2011-07-14,0.0001749848615876221
2011-07-15,0.0006058658431210389
2011-07-18,0.00018295370902983706
2011-07-19,0.0008744645089282779
2011-07-20,0.000975077202537278
2011-07-21,0.002101388400863945
2011-07-22,0.0021143807435241003
2011-07-25,0.0008031549831194668
2011-07-26,0.0004173588254929189
2011-07-27,2.7013826066198342e-05
2011-07-28,1.48278606833278e-05
2011-07-29,3.4022590689900724e-06
2011-08-01,3.4361009058359455e-05
2011-08-02,1.3140997451715093e-05
2011-08-03,8.077419884024628e-05
2011-08-04,6.248215994115414e-09
2011-08-05,1.6717461639499573e-08
2011-08-08,1.5872595003655912e-15
2011-08-09,3.603402551592328e-08
2011-08-10,9.464221362985263e-11
2011-08-11,2.1220169204578006e-08
2011-08-12,5.163570624979894e-07
2011-08-15,2.2795170315235196e-05
2011-08-16,1.7277608677350463e-05
2011-08-17,5.284242908284604e-05
2011-08-18,6.005758342223992e-08
2011-08-19,1.3769159926199276e-07
2011-08-22,5.098411705983913e-07
2011-08-23,2.9821984585560693e-05
2011-08-24,4.9085477111695755e-05
2011-08-25,9.92363909349846e-06
2011-08-26,0.00010402823466832434
2011-08-29,0.000463006890180201
2011-08-30,0.00041300071565145125
2011-08-31,0.0006996708201081028
2011-09-01,0.0007065044370698646
2011-09-02,0.00037900829307163636
2011-09-06,0.0001338887989279308
2011-09-07,0.0005894469360778403
2011-09-08,0.0004752074743412206
2011-09-09,0.0001151445989987479
2011-09-12,0.00013842631592653838
2011-09-13,0.00030683660375789996
2011-09-14,0.0007180357391481712
2011-09-15,0.00146741074585313
2011-09-16,0.001814381406597623
2011-09-19,0.0013113941134594398
2011-09-20,0.0013210837391777342
2011-09-21,0.00040535085317772705
2011-09-22,0.00011318871800517852
2011-09-23,0.00014589679042076404
2011-09-26,0.00037191633273593626
2011-09-27,0.0006180447149205267
2011-09-28,0.0002440979954215152
2011-09-29,0.0005603192616439279
2011-09-30,0.00017468768468798744
2011-10-03,9.071701677994768e-05
2011-10-04,0.00048728093576584403
2011-10-05,0.001130041786572963
2011-10-06,0.001593021873093004
2011-10-07,0.0016575723199244094
2011-10-10,0.0024600697430488066
2011-10-11,0.0024904749710124444
2011-10-12,0.0026130866499925087
2011-10-13,0.0025964880762108424
2011-10-14,0.0021340495494269296
2011-10-17,0.0023498662302546577
2011-10-18,0.002608769722289002
2011-10-19,0.002105637346292384
2011-10-20,0.0020389532162698593
2011-10-21,0.002625688794498573
2011-10-24,0.0024057091724546857
